gameID,visitors,home,gameDate,winner
20231101BUF@PHI,BUF,PHI,2023-11-01,BUF
20231101DAL@CGY,DAL,CGY,2023-11-01,DAL
20231101STL@COL,STL,COL,2023-11-01,COL
20231101ARI@ANA,ARI,ANA,2023-11-01,ANA
20231102TB@CLB,TB,CLB,2023-11-02,CLB
20231102FLA@DET,FLA,DET,2023-11-02,FLA
20231102LA@OTT,LA,OTT,2023-11-02,LA
20231102CAR@NYR,CAR,NYR,2023-11-02,NYR
20231102NYI@WAS,NYI,WAS,2023-11-02,NYI
20231102TOR@BOS,TOR,BOS,2023-11-02,BOS
20231102NJ@MIN,NJ,MIN,2023-11-02,NJ
20231102DAL@EDM,DAL,EDM,2023-11-02,DAL
20231102MON@ARI,MON,ARI,2023-11-02,ARI
20231102NSH@SEA,NSH,SEA,2023-11-02,SEA
20231102WPG@VGK,WPG,VGK,2023-11-02,LV
20231102VAN@SJ,VAN,SJ,2023-11-02,VAN
20231103PHI@BUF,PHI,BUF,2023-11-03,PHI
20231103NJ@STL,NJ,STL,2023-11-03,STL
20231104NSH@EDM,NSH,EDM,2023-11-04,NSH
20231104WPG@ARI,WPG,ARI,2023-11-04,WPG
20231104BOS@DET,BOS,DET,2023-11-04,DET
20231104TB@OTT,TB,OTT,2023-11-04,TB
20231104MON@STL,MON,STL,2023-11-04,STL
20231104BUF@TOR,BUF,TOR,2023-11-04,BUF
20231104CLB@WAS,CLB,WAS,2023-11-04,WAS
20231104LA@PHI,LA,PHI,2023-11-04,LA
20231104CAR@NYI,CAR,NYI,2023-11-04,CAR
20231104FLA@CHI,FLA,CHI,2023-11-04,CHI
20231104NYR@MIN,NYR,MIN,2023-11-04,MIN
20231104PIT@SJ,PIT,SJ,2023-11-04,PIT
20231104CGY@SEA,CGY,SEA,2023-11-04,CGY
20231104DAL@VAN,DAL,VAN,2023-11-04,VAN
20231104COL@VGK,COL,VGK,2023-11-04,LV
20231105NJ@CHI,NJ,CHI,2023-11-05,NJ
20231105VGK@ANA,VGK,ANA,2023-11-05,ANA
