goalID,teamID,period,goalTime,goalDate,scorer,gameID,assist1,assist2,seconds
2023102602:08ANA7,ANA,OVE,02:08,2023-10-26,Mason McTavish,20231026ANA@BOS,Leo Carlsson,Jackson LaCombe,3728
2023102619:45ANA6,ANA,3RD,19:45,2023-10-26,Troy Terry,20231026ANA@BOS,Pavel Mintyukov,Ryan Strome,3585
2023102618:05ANA5,ANA,3RD,18:05,2023-10-26,Leo Carlsson,20231026ANA@BOS,Troy Terry,Sam Carrick,3485
2023102616:40BOS4,BOS,2ND,16:40,2023-10-26,David Pastrnak,20231026ANA@BOS,Pavel Zacha,Charlie McAvoy,2200
2023102603:01BOS3,BOS,2ND,03:01,2023-10-26,Matt Grzelcyk,20231026ANA@BOS,Charlie McAvoy,Matthew Poitras,1381
2023102601:41BOS2,BOS,2ND,01:41,2023-10-26,Charlie Coyle,20231026ANA@BOS,David Pastrnak,Charlie McAvoy,1301
2023102615:00ANA1,ANA,1ST,15:00,2023-10-26,Radko Gudas,20231026ANA@BOS,Urho Vaakanainen,Ryan Strome,900
2023102604:50CAR5,CAR,OVE,04:50,2023-10-26,Martin Necas,20231026SEA@CAR,Tony DeAngelo,Sebastian Aho,3890
2023102615:36CAR4,CAR,3RD,15:36,2023-10-26,Jesperi Kotkaniemi,20231026SEA@CAR,Martin Necas,Brady Skjei,3336
2023102618:22CAR3,CAR,1ST,18:22,2023-10-26,Martin Necas,20231026SEA@CAR,Michael Bunting,Jesperi Kotkaniemi,1102
2023102614:52SEA2,SEA,1ST,14:52,2023-10-26,Devin Shore,20231026SEA@CAR,Oliver Bjorkstrand,None,892
2023102611:24SEA1,SEA,1ST,11:24,2023-10-26,Oliver Bjorkstrand,20231026SEA@CAR,Jaden Schwartz,Jamie Oleksiak,684
2023102618:58WPG5,WPG,3RD,18:58,2023-10-26,Nino Niederreiter,20231026WPG@DET,Mason Appleton,None,3538
2023102610:26WPG4,WPG,3RD,10:26,2023-10-26,Mason Appleton,20231026WPG@DET,Adam Lowry,Nino Niederreiter,3026
2023102603:18DET3,DET,2ND,03:18,2023-10-26,Lucas Raymond,20231026WPG@DET,Dylan Larkin,Moritz Seider,1398
2023102617:30WPG2,WPG,1ST,17:30,2023-10-26,Kyle Connor,20231026WPG@DET,Josh Morrissey,None,1050
2023102616:28WPG1,WPG,1ST,16:28,2023-10-26,Nikolaj Ehlers,20231026WPG@DET,Cole Perfetti,Dylan Samberg,988
2023102604:17MON7,MON,OVE,04:17,2023-10-26,Cole Caufield,20231026CLB@MON,Nick Suzuki,Jordan Harris,3857
2023102607:48MON6,MON,3RD,07:48,2023-10-26,Sean Monahan,20231026CLB@MON,Cole Caufield,Mike Matheson,2868
2023102619:43MON5,MON,2ND,19:43,2023-10-26,Mike Matheson,20231026CLB@MON,Nick Suzuki,Cole Caufield,2383
2023102613:34CLB4,CLB,2ND,13:34,2023-10-26,Emil Bemstrom,20231026CLB@MON,Jack Roslovic,Dmitri Voronkov,2014
2023102627.0MON3,MON,2ND,00:27,2023-10-26,Nick Suzuki,20231026CLB@MON,None,None,1227
2023102617:21CLB2,CLB,1ST,17:21,2023-10-26,Emil Bemstrom,20231026CLB@MON,Ivan Provorov,Jack Roslovic,1041
2023102602:46CLB1,CLB,1ST,02:46,2023-10-26,Jack Roslovic,20231026CLB@MON,Johnny Gaudreau,Zach Werenski,166
2023102610:35PIT4,PIT,3RD,10:35,2023-10-26,Sidney Crosby,20231026COL@PIT,Jake Guentzel,None,3035
2023102606:00PIT3,PIT,2ND,06:00,2023-10-26,Lars Eller,20231026COL@PIT,Radim Zohorna,None,1560
2023102616:51PIT2,PIT,1ST,16:51,2023-10-26,Reilly Smith,20231026COL@PIT,Evgeni Malkin,Bryan Rust,1011
2023102604:40PIT1,PIT,1ST,04:40,2023-10-26,Reilly Smith,20231026COL@PIT,None,None,280
2023102605:44TB6,TB,3RD,05:44,2023-10-26,Luke Glendening,202310266SJ@TB,Conor Sheary,Darren Raddysh,2744
2023102607:29TB5,TB,2ND,07:29,2023-10-26,Nick Paul,202310266SJ@TB,Steven Stamkos,Victor Hedman,1649
2023102604:01TB4,TB,2ND,04:01,2023-10-26,Brandon Hagel,202310266SJ@TB,Alex Barre-Boulet,Victor Hedman,1441
2023102619:18TB3,TB,1ST,19:18,2023-10-26,Steven Stamkos,202310266SJ@TB,Nikita Kucherov,Mikhail Sergachev,1158
2023102606:03TB2,TB,1ST,06:03,2023-10-26,Mikey Eyssimont,202310266SJ@TB,Calvin de Haan,Nicklaus Perbix,363
2023102601:41TB1,TB,1ST,01:41,2023-10-26,Brayden Point,202310266SJ@TB,Mikhail Sergachev,Nicklaus Perbix,101
2023102614:46PHI8,PHI,3RD,14:46,2023-10-26,Travis Sanheim,20231026MIN@PHI,Tyson Foerster,Travis Konecny,3286
2023102611:02PHI7,PHI,3RD,11:02,2023-10-26,Bobby Brink,20231026MIN@PHI,Joel Farabee,Travis Sanheim,3062
2023102606:34PHI6,PHI,3RD,06:34,2023-10-26,Owen Tippett,20231026MIN@PHI,Cam Atkinson,None,2794
2023102604:30MIN5,MIN,3RD,04:30,2023-10-26,Marcus Foligno,20231026MIN@PHI,Marcus Johansson,Marco Rossi,2670
2023102603:05MIN4,MIN,3RD,03:05,2023-10-26,Dakota Mermis,20231026MIN@PHI,Pat Maroon,Jon Merrill,2585
2023102609:52PHI3,PHI,2ND,09:52,2023-10-26,Bobby Brink,20231026MIN@PHI,Sean Couturier,Cam Atkinson,1792
2023102607:28PHI2,PHI,2ND,07:28,2023-10-26,Sean Couturier,20231026MIN@PHI,Cam Atkinson,Travis Sanheim,1648
2023102613:57PHI1,PHI,1ST,13:57,2023-10-26,Travis Konecny,20231026MIN@PHI,Nick Seeler,None,837
2023102606:45NYI5,NYI,3RD,06:45,2023-10-26,Noah Dobson,20231026OTT@NYI,Mathew Barzal,Bo Horvat,2805
2023102612:25OTT4,OTT,2ND,12:25,2023-10-26,Jakob Chychrun,20231026OTT@NYI,Rourke Chartier,Parker Kelly,1945
2023102606:52OTT3,OTT,2ND,06:52,2023-10-26,Claude Giroux,20231026OTT@NYI,Tim Stutzle,Josh Norris,1612
2023102613:05NYI2,NYI,1ST,13:05,2023-10-26,Cal Clutterbuck,20231026OTT@NYI,Casey Cizikas,None,785
2023102602:41NYI1,NYI,1ST,02:41,2023-10-26,Bo Horvat,20231026OTT@NYI,Kyle Palmieri,Noah Dobson,161
2023102619:49TOR5,TOR,3RD,19:49,2023-10-26,John Tavares,20231026TOR@DAL,None,None,3589
2023102605:08TOR4,TOR,3RD,05:08,2023-10-26,Tyler Bertuzzi,20231026TOR@DAL,Morgan Rielly,Matthew Knies,2708
2023102618:07TOR3,TOR,2ND,18:07,2023-10-26,Mitchell Marner,20231026TOR@DAL,Auston Matthews,Calle Jarnkrok,2287
2023102611:17DAL2,DAL,2ND,11:17,2023-10-26,Mason Marchment,20231026TOR@DAL,Matt Duchene,Ryan Suter,1877
2023102609:49TOR1,TOR,1ST,09:49,2023-10-26,Morgan Rielly,20231026TOR@DAL,William Nylander,None,589
2023102617:53STL3,STL,3RD,17:53,2023-10-26,Oskar Sundqvist,20231026STL@CGY,Robert Thomas,None,3473
