goalID,teamID,period,goalTime,goalDate,scorer,gameID,assist1,assist2,seconds
2023110116:52BUF7,BUF,3RD,16:52,2023-11-01,Brandon Biro,20231101BUF@PHI,Casey Mittelstadt,Peyton Krebs,3412
2023110113:28BUF6,BUF,3RD,13:28,2023-11-01,Tage Thompson,20231101BUF@PHI,Alex Tuch,None,3208
2023110103:03BUF5,BUF,3RD,03:03,2023-11-01,Owen Power,20231101BUF@PHI,Tage Thompson,Alex Tuch,2583
2023110116:17PHI4,PHI,1ST,16:17,2023-11-01,Cam Atkinson,20231101BUF@PHI,Travis Sanheim,None,977
2023110110:00BUF3,BUF,1ST,10:00,2023-11-01,Brandon Biro,20231101BUF@PHI,Tage Thompson,Jordan Greenway,600
2023110103:38BUF2,BUF,1ST,03:38,2023-11-01,Casey Mittelstadt,20231101BUF@PHI,John-Jason Peterka,Jeff Skinner,218
2023110155.0PHI1,PHI,1ST,00:55,2023-11-01,Joel Farabee,20231101BUF@PHI,Travis Sanheim,None,55
2023110102:20CGY7,CGY,3RD,02:20,2023-11-01,MacKenzie Weegar,20231101DAL@CGY,Nazem Kadri,Elias Lindholm,2540
2023110119:48DAL6,DAL,2ND,19:48,2023-11-01,Mason Marchment,20231101DAL@CGY,Matt Duchene,Tyler Seguin,2388
2023110110:07DAL5,DAL,2ND,10:07,2023-11-01,Evgenii Dadonov,20231101DAL@CGY,Nils Lundkvist,Jamie Benn,1807
2023110104:35DAL4,DAL,2ND,04:35,2023-11-01,Jason Robertson,20231101DAL@CGY,Roope Hintz,Joe Pavelski,1475
2023110101:57CGY3,CGY,2ND,01:57,2023-11-01,Andrew Mangiapane,20231101DAL@CGY,MacKenzie Weegar,Elias Lindholm,1317
2023110119:06DAL2,DAL,1ST,19:06,2023-11-01,Jamie Benn,20231101DAL@CGY,Roope Hintz,Esa Lindell,1146
2023110105:28CGY1,CGY,1ST,05:28,2023-11-01,Connor Zary,20231101DAL@CGY,Christopher Tanev,Nazem Kadri,328
2023110107:59COL5,COL,3RD,07:59,2023-11-01,Bowen Byram,20231101STL@COL,Nathan MacKinnon,None,2879
2023110101:41COL4,COL,3RD,01:41,2023-11-01,Artturi Lehkonen,20231101STL@COL,Cale Makar,Mikko Rantanen,2501
2023110117:49STL3,STL,2ND,17:49,2023-11-01,Robert Thomas,20231101STL@COL,Kasperi Kapanen,Nick Leddy,2269
2023110113:19COL2,COL,1ST,13:19,2023-11-01,Mikko Rantanen,20231101STL@COL,Cale Makar,Nathan MacKinnon,799
2023110108:53COL1,COL,1ST,08:53,2023-11-01,Ross Colton,20231101STL@COL,Miles Wood,None,533
2023110103:27ANA7,ANA,OVE,03:27,2023-11-01,Troy Terry,20231101ARI@ANA,Mason McTavish,None,3807
2023110104:01ANA6,ANA,3RD,04:01,2023-11-01,Leo Carlsson,20231101ARI@ANA,Troy Terry,Radko Gudas,2641
2023110114:25ARI5,ARI,2ND,14:25,2023-11-01,Lawson Crouse,20231101ARI@ANA,Matias Maccelli,Juuso Valimaki,2065
2023110114:51ARI4,ARI,1ST,14:51,2023-11-01,Logan Cooley,20231101ARI@ANA,Janis Moser,Liam O'Brien,891
2023110111:41ARI3,ARI,1ST,11:41,2023-11-01,Lawson Crouse,20231101ARI@ANA,Janis Moser,Nick Bjugstad,701
2023110109:35ANA2,ANA,1ST,09:35,2023-11-01,Troy Terry,20231101ARI@ANA,Pavel Mintyukov,Cam Fowler,575
2023110103:46ANA1,ANA,1ST,03:46,2023-11-01,Troy Terry,20231101ARI@ANA,None,None,226
2023110217:49CLB6,CLB,3RD,17:49,2023-11-02,Johnny Gaudreau,20231102TB@CLB,Ivan Provorov,Boone Jenner,3469
2023110209:24CLB5,CLB,3RD,09:24,2023-11-02,Erik Gudbranson,20231102TB@CLB,Emil Bemstrom,Adam Fantilli,2964
2023110206:41CLB4,CLB,3RD,06:41,2023-11-02,Boone Jenner,20231102TB@CLB,Zach Werenski,Damon Severson,2801
2023110204:42TB3,TB,2ND,04:42,2023-11-02,Conor Sheary,20231102TB@CLB,Steven Stamkos,Erik Cernak,1482
2023110202:53TB2,TB,2ND,02:53,2023-11-02,Steven Stamkos,20231102TB@CLB,None,None,1373
2023110206:29CLB1,CLB,1ST,06:29,2023-11-02,Kirill Marchenko,20231102TB@CLB,Dmitri Voronkov,Cole Sillinger,389
2023110218:48FLA2,FLA,3RD,18:48,2023-11-02,Anton Lundell,20231102FLA@DET,Matthew Tkachuk,Dmitry Kulikov,3528
