goalid,teamid,period,goaltime,scorer,assist1,assist2,gameid,goaldate,seconds
2023101018:33CHI6,CHI,3RD,1900-01-01 18:33:00,Nick Foligno,Corey Perry,Jason Dickinson,20231010CHI@PIT,2023-10-10,3513
2023101019:58TB8,TB,3RD,1900-01-01 19:58:00,Nikita Kucherov,Nick Paul,None,20231010NSH@TB,2023-10-10,3598
2023101101:10MON2,MON,2ND,1900-01-01 01:10:00,Alex Newhook,None,None,20231011MON@TOR,2023-10-11,1270
2023101102:54COL2,COL,2ND,1900-01-01 02:54:00,Cale Makar,Nathan MacKinnon,Mikko Rantanen,20231011COL@LA,2023-10-11,1374
2023101102:55CAR2,CAR,2ND,1900-01-01 02:55:00,Michael Bunting,Sebastian Aho,Tony DeAngelo,20231011OTT@CAR,2023-10-11,1375
2023101103:01MON1,MON,1ST,1900-01-01 03:01:00,Jake Evans,None,None,20231011MON@TOR,2023-10-11,181
2023101103:14OTT1,OTT,1ST,1900-01-01 03:14:00,Mathieu Joseph,Artem Zub,Parker Kelly,20231011OTT@CAR,2023-10-11,194
2023101103:47COL3,COL,2ND,1900-01-01 03:47:00,Mikko Rantanen,Devon Toews,Nathan MacKinnon,20231011COL@LA,2023-10-11,1427
2023101104:03VAN3,VAN,2ND,1900-01-01 04:03:00,Brock Boeser,None,None,20231011EDM@VAN,2023-10-11,1443
2023101104:25MON6,MON,3RD,1900-01-01 04:25:00,Cole Caufield,Mike Matheson,Nick Suzuki,20231011MON@TOR,2023-10-11,2665
2023101104:59COL6,COL,3RD,1900-01-01 04:59:00,Mikko Rantanen,Jack Johnson,Cale Makar,20231011COL@LA,2023-10-11,2699
2023101105:00TOR11,TOR,SHO,1900-01-01 05:00:00,Mitchell Marner,None,None,20231011MON@TOR,2023-10-11,4200
2023101105:14OTT5,OTT,3RD,1900-01-01 05:14:00,Parker Kelly,Mathieu Joseph,None,20231011OTT@CAR,2023-10-11,2714
2023101105:37CHI1,CHI,1ST,1900-01-01 05:37:00,Connor Bedard,Taylor Hall,Ryan Donato,20231011CHI@BOS,2023-10-11,337
2023101105:43VAN7,VAN,3RD,1900-01-01 05:43:00,Brock Boeser,Quinn Hughes,Filip Hronek,20231011EDM@VAN,2023-10-11,2743
2023101105:47MON7,MON,3RD,1900-01-01 05:47:00,Alex Newhook,Arber Xhekaj,Kirby Dach,20231011MON@TOR,2023-10-11,2747
2023101105:49OTT6,OTT,3RD,1900-01-01 05:49:00,Tim Stutzle,None,None,20231011OTT@CAR,2023-10-11,2749
2023101106:18LA4,LA,2ND,1900-01-01 06:18:00,Carl Grundstrom,Phillip Danault,None,20231011COL@LA,2023-10-11,1578
2023101106:56VAN8,VAN,3RD,1900-01-01 06:56:00,J.T. Miller,Quinn Hughes,Elias Pettersson,20231011EDM@VAN,2023-10-11,2816
2023101107:25COL1,COL,1ST,1900-01-01 07:25:00,Nathan MacKinnon,Mikko Rantanen,Jonathan Drouin,20231011COL@LA,2023-10-11,445
2023101107:30VAN4,VAN,2ND,1900-01-01 07:30:00,Brock Boeser,None,None,20231011EDM@VAN,2023-10-11,1650
2023101107:46TOR3,TOR,2ND,1900-01-01 07:46:00,Noah Gregor,John Klingberg,None,20231011MON@TOR,2023-10-11,1666
2023101107:51CAR7,CAR,3RD,1900-01-01 07:51:00,Brady Skjei,Jesper Fast,Jordan Staal,20231011OTT@CAR,2023-10-11,2871
2023101108:06VAN1,VAN,1ST,1900-01-01 08:06:00,Conor Garland,Elias Pettersson,Noah Juulsen,20231011EDM@VAN,2023-10-11,486
2023101108:20EDM5,EDM,2ND,1900-01-01 08:20:00,Leon Draisaitl,Connor McDavid,Evan Bouchard,20231011EDM@VAN,2023-10-11,1700
2023101111:05CAR8,CAR,3RD,1900-01-01 11:05:00,Jaccob Slavin,Jesperi Kotkaniemi,Seth Jarvis,20231011OTT@CAR,2023-10-11,3065
2023101111:08VAN6,VAN,2ND,1900-01-01 11:08:00,Elias Pettersson,Quinn Hughes,J.T. Miller,20231011EDM@VAN,2023-10-11,1868
2023101111:19WPG4,WPG,2ND,1900-01-01 11:19:00,Alex Iafallo,None,None,20231011WPG@CGY,2023-10-11,1879
2023101111:22BOS2,BOS,1ST,1900-01-01 11:22:00,Trent Frederic,Brandon Carlo,Matthew Poitras,20231011CHI@BOS,2023-10-11,682
2023101111:27VAN2,VAN,1ST,1900-01-01 11:27:00,Brock Boeser,J.T. Miller,Phillip Di Giuseppe,20231011EDM@VAN,2023-10-11,687
2023101111:55MON8,MON,3RD,1900-01-01 11:55:00,Jesse Ylonen,Rafael Harvey-Pinard,None,20231011MON@TOR,2023-10-11,3115
2023101112:29CGY1,CGY,1ST,1900-01-01 12:29:00,Andrew Mangiapane,Adam Ruzicka,Noah Hanifin,20231011WPG@CGY,2023-10-11,749
2023101113:09BOS3,BOS,2ND,1900-01-01 13:09:00,David Pastrnak,Milan Lucic,None,20231011CHI@BOS,2023-10-11,1989
2023101113:49CGY5,CGY,2ND,1900-01-01 13:49:00,Rasmus Andersson,Elias Lindholm,None,20231011WPG@CGY,2023-10-11,2029
2023101114:18WPG6,WPG,3RD,1900-01-01 14:18:00,Mark Scheifele,Josh Morrissey,None,20231011WPG@CGY,2023-10-11,3258
2023101114:48VAN9,VAN,3RD,1900-01-01 14:48:00,Dakota Joshua,Sam Lafferty,Nils Hoglander,20231011EDM@VAN,2023-10-11,3288
2023101114:48WPG2,WPG,1ST,1900-01-01 14:48:00,Kyle Connor,Dylan Samberg,Neal Pionk,20231011WPG@CGY,2023-10-11,888
2023101114:51TOR4,TOR,2ND,1900-01-01 14:51:00,Auston Matthews,Mitchell Marner,John Tavares,20231011MON@TOR,2023-10-11,2091
2023101115:28TOR9,TOR,3RD,1900-01-01 15:28:00,Auston Matthews,John Tavares,Morgan Rielly,20231011MON@TOR,2023-10-11,3328
2023101116:08COL7,COL,3RD,1900-01-01 16:08:00,Miles Wood,Ross Colton,Tomas Tatar,20231011COL@LA,2023-10-11,3368
2023101117:50CGY3,CGY,1ST,1900-01-01 17:50:00,MacKenzie Weegar,Nikita Zadorov,Walker Duehr,20231011WPG@CGY,2023-10-11,1070
2023101117:57CAR3,CAR,2ND,1900-01-01 17:57:00,Teuvo Teravainen,Martin Necas,Brady Skjei,20231011OTT@CAR,2023-10-11,2277
2023101118:28CGY7,CGY,3RD,1900-01-01 18:28:00,Elias Lindholm,Andrew Mangiapane,Jonathan Huberdeau,20231011WPG@CGY,2023-10-11,3508
2023101118:53TOR10,TOR,3RD,1900-01-01 18:53:00,Auston Matthews,William Nylander,None,20231011MON@TOR,2023-10-11,3533
2023101119:04BOS4,BOS,3RD,1900-01-01 19:04:00,David Pastrnak,Brad Marchand,Charlie McAvoy,20231011CHI@BOS,2023-10-11,3544
2023101119:15TOR5,TOR,2ND,1900-01-01 19:15:00,William Nylander,John Klingberg,John Tavares,20231011MON@TOR,2023-10-11,2355
2023101119:53CGY8,CGY,3RD,1900-01-01 19:53:00,Andrew Mangiapane,Jonathan Huberdeau,Elias Lindholm,20231011WPG@CGY,2023-10-11,3593
2023101119:55LA5,LA,2ND,1900-01-01 19:55:00,Quinton Byfield,None,None,20231011COL@LA,2023-10-11,2395
2023101120.0CAR4,CAR,3RD,1900-01-01 00:20:00,Jordan Staal,Jordan Martinook,None,20231011OTT@CAR,2023-10-11,2420
2023101202:11LV5,LV,3RD,1900-01-01 02:11:00,Brayden Pachal,Pavel Dorofeyev,William Karlsson,202310122LV@SJ,2023-10-12,2531
2023101202:37STL2,STL,2ND,1900-01-01 02:37:00,Tyler Tucker,Jakub Vrana,Sammy Blais,20231012STL@DAL,2023-10-12,1357
2023101203:33PHI1,PHI,1ST,1900-01-01 03:33:00,Joel Farabee,Sean Couturier,Egor Zamula,20231012PHI@CLB,2023-10-12,213
2023101203:47NYR1,NYR,1ST,1900-01-01 03:47:00,Alexis Lafreniere,Artemi Panarin,Filip Chytil,20231012NYR@BUF,2023-10-12,227
2023101205:00DAL3,DAL,SHO,1900-01-01 05:00:00,Jason Robertson,None,None,20231012STL@DAL,2023-10-12,4200
2023101205:00DAL5,DAL,SHO,1900-01-01 05:00:00,Matt Duchene,None,None,20231012STL@DAL,2023-10-12,4200
2023101205:00STL4,STL,SHO,1900-01-01 05:00:00,Brayden Schenn,None,None,20231012STL@DAL,2023-10-12,4200
2023101207:54MIN1,MIN,1ST,1900-01-01 07:54:00,Brock Faber,Matt Boldy,Joel Eriksson Ek,20231012FLA@MIN,2023-10-12,474
2023101208:24CLB2,CLB,1ST,1900-01-01 08:24:00,Jake Bean,Adam Fantilli,Kirill Marchenko,20231012PHI@CLB,2023-10-12,504
2023101210:03NSH2,NSH,3RD,1900-01-01 10:03:00,Gustav Nyquist,None,None,20231012SEA@NSH,2023-10-12,3003
2023101210:24NSH1,NSH,2ND,1900-01-01 10:24:00,Colton Sissons,Cole Smith,None,20231012SEA@NSH,2023-10-12,1824
2023101210:43DET4,DET,3RD,1900-01-01 10:43:00,Alex DeBrincat,Dylan Larkin,Shayne Gostisbehere,20231012DET@NJ,2023-10-12,3043
2023101211:34NYR5,NYR,3RD,1900-01-01 11:34:00,Chris Kreider,Mika Zibanejad,K'Andre Miller,20231012NYR@BUF,2023-10-12,3094
2023101212:14DET1,DET,2ND,1900-01-01 12:14:00,Daniel Sprong,None,None,20231012DET@NJ,2023-10-12,1934
2023101212:22NYR2,NYR,1ST,1900-01-01 12:22:00,Chris Kreider,Adam Fox,Mika Zibanejad,20231012NYR@BUF,2023-10-12,742
2023101212:43PHI3,PHI,1ST,1900-01-01 12:43:00,Travis Konecny,Scott Laughton,None,20231012PHI@CLB,2023-10-12,763
2023101212:49NYR3,NYR,2ND,1900-01-01 12:49:00,Artemi Panarin,None,None,20231012NYR@BUF,2023-10-12,1969
2023101212:56MIN2,MIN,2ND,1900-01-01 12:56:00,Joel Eriksson Ek,Mats Zuccarello,Kirill Kaprizov,20231012FLA@MIN,2023-10-12,1976
2023101213:39NJ2,NJ,2ND,1900-01-01 13:39:00,Jack Hughes,Ondrej Palat,None,20231012DET@NJ,2023-10-12,2019
2023101215:25LV1,LV,1ST,1900-01-01 15:25:00,Michael Amadio,William Karlsson,Nicolas Hague,202310122LV@SJ,2023-10-12,925
2023101215:37NJ5,NJ,3RD,1900-01-01 15:37:00,Dougie Hamilton,Jonas Siegenthaler,None,20231012DET@NJ,2023-10-12,3337
2023101217:48SJ2,SJ,1ST,1900-01-01 17:48:00,Filip Zadina,Tomas Hertl,Henry Thrun,202310122LV@SJ,2023-10-12,1068
2023101218.0DAL1,DAL,2ND,1900-01-01 00:18:00,Jamie Benn,Ty Dellandrea,Wyatt Johnston,20231012STL@DAL,2023-10-12,1218
2023101218:19NSH3,NSH,3RD,1900-01-01 18:19:00,Juuso Parssinen,None,None,20231012SEA@NSH,2023-10-12,3499
2023101218:29NJ6,NJ,3RD,1900-01-01 18:29:00,Erik Haula,Jonas Siegenthaler,John Marino,20231012DET@NJ,2023-10-12,3509
2023101218:30BUF4,BUF,2ND,1900-01-01 18:30:00,John-Jason Peterka,Owen Power,Henri Jokiharju,20231012NYR@BUF,2023-10-12,2310
2023101218:31LV3,LV,2ND,1900-01-01 18:31:00,Nicolas Hague,Alex Pietrangelo,Jack Eichel,202310122LV@SJ,2023-10-12,2311
2023101218:31NYR6,NYR,3RD,1900-01-01 18:31:00,Jacob Trouba,Chris Kreider,Mika Zibanejad,20231012NYR@BUF,2023-10-12,3511
2023101218:31PHI4,PHI,3RD,1900-01-01 18:31:00,Cam Atkinson,Carter Hart,None,20231012PHI@CLB,2023-10-12,3511
2023101218:43NJ3,NJ,2ND,1900-01-01 18:43:00,Jack Hughes,Tyler Toffoli,Jonas Siegenthaler,20231012DET@NJ,2023-10-12,2323
2023101219:16CLB5,CLB,3RD,1900-01-01 19:16:00,Patrik Laine,Kirill Marchenko,Boone Jenner,20231012PHI@CLB,2023-10-12,3556
2023101219:24LV4,LV,2ND,1900-01-01 19:24:00,Nicolas Roy,Jonas Rondbjerg,Ben Hutton,202310122LV@SJ,2023-10-12,2364
2023101219:26DET7,DET,3RD,1900-01-01 19:26:00,Robby Fabbri,J.T. Compher,Jake Walman,20231012DET@NJ,2023-10-12,3566
2023101219:59PHI6,PHI,3RD,1900-01-01 19:59:00,Travis Konecny,Scott Laughton,Travis Sanheim,20231012PHI@CLB,2023-10-12,3599
2023101304:07PIT1,PIT,2ND,1900-01-01 04:07:00,Evgeni Malkin,Rickard Rakell,Erik Karlsson,20231013PIT@WAS,2023-10-13,1447
2023101304:23ARI2,ARI,2ND,1900-01-01 04:23:00,Sean Durzi,Clayton Keller,Logan Cooley,20231013ARI@NJ,2023-10-13,1463
2023101305:00ARI7,ARI,SHO,1900-01-01 05:00:00,Nick Bjugstad,None,None,20231013ARI@NJ,2023-10-13,4200
2023101305:00ARI8,ARI,SHO,1900-01-01 05:00:00,Nick Schmaltz,None,None,20231013ARI@NJ,2023-10-13,4200
2023101305:51PIT2,PIT,2ND,1900-01-01 05:51:00,Sidney Crosby,Jake Guentzel,Evgeni Malkin,20231013PIT@WAS,2023-10-13,1551
2023101306:22ARI1,ARI,1ST,1900-01-01 06:22:00,Matt Dumba,Clayton Keller,Nick Schmaltz,20231013ARI@NJ,2023-10-13,382
2023101308:09NJ3,NJ,2ND,1900-01-01 08:09:00,Jesper Bratt,Jack Hughes,Dougie Hamilton,20231013ARI@NJ,2023-10-13,1689
2023101311:46PIT3,PIT,2ND,1900-01-01 11:46:00,Sidney Crosby,Evgeni Malkin,Jake Guentzel,20231013PIT@WAS,2023-10-13,1906
2023101312:29NJ4,NJ,2ND,1900-01-01 12:29:00,Dougie Hamilton,Jack Hughes,Jesper Bratt,20231013ARI@NJ,2023-10-13,1949
2023101313:55ARI6,ARI,3RD,1900-01-01 13:55:00,Nick Schmaltz,Logan Cooley,None,20231013ARI@NJ,2023-10-13,3235
2023101316:57PIT4,PIT,3RD,1900-01-01 16:57:00,Reilly Smith,Evgeni Malkin,None,20231013PIT@WAS,2023-10-13,3417
2023101318:53NJ5,NJ,2ND,1900-01-01 18:53:00,Jesper Bratt,Jack Hughes,Tyler Toffoli,20231013ARI@NJ,2023-10-13,2333
2023101401:32OTT7,OTT,3RD,1900-01-01 01:32:00,Brady Tkachuk,Claude Giroux,Tim Stutzle,20231014PHI@OTT,2023-10-14,2492
2023101401:45EDM4,EDM,2ND,1900-01-01 01:45:00,Connor McDavid,Ryan Nugent-Hopkins,Leon Draisaitl,20231014VAN@EDM,2023-10-14,1305
2023101402:01DET5,DET,2ND,1900-01-01 02:01:00,Lucas Raymond,None,None,20231014TB@DET,2023-10-14,1321
2023101402:34BUF4,BUF,3RD,1900-01-01 02:34:00,Casey Mittelstadt,Zach Benson,Rasmus Dahlin,20231014BUF@NYI,2023-10-14,2554
2023101402:36OTT1,OTT,1ST,1900-01-01 02:36:00,Jakob Chychrun,Zack MacEwen,Ridly Greig,20231014PHI@OTT,2023-10-14,156
2023101402:36VAN5,VAN,2ND,1900-01-01 02:36:00,Jack Studnicka,Elias Pettersson,None,20231014VAN@EDM,2023-10-14,1356
2023101402:52BOS5,BOS,3RD,1900-01-01 02:52:00,James van Riemsdyk,Charlie McAvoy,David Pastrnak,20231014NSH@BOS,2023-10-14,2572
2023101402:56VAN7,VAN,3RD,1900-01-01 02:56:00,Sam Lafferty,Nils Hoglander,None,20231014VAN@EDM,2023-10-14,2576
2023101403:03CAR5,CAR,2ND,1900-01-01 03:03:00,Brendan Lemieux,Tony DeAngelo,None,20231014CAR@LA,2023-10-14,1383
2023101403:29NSH1,NSH,1ST,1900-01-01 03:29:00,Colton Sissons,Kiefer Sherwood,Tyson Barrie,20231014NSH@BOS,2023-10-14,209
2023101403:30WPG1,WPG,1ST,1900-01-01 03:30:00,Mark Scheifele,Kyle Connor,Josh Morrissey,20231014FLA@WPG,2023-10-14,210
2023101403:35TOR5,TOR,2ND,1900-01-01 03:35:00,Tyler Bertuzzi,Calle Jarnkrok,Morgan Rielly,20231014MIN@TOR,2023-10-14,1415
2023101403:54MON1,MON,2ND,1900-01-01 03:54:00,Cole Caufield,None,None,20231014CHI@MON,2023-10-14,1434
2023101404:09MIN6,MIN,2ND,1900-01-01 04:09:00,Matt Boldy,Mats Zuccarello,Calen Addison,20231014MIN@TOR,2023-10-14,1449
2023101404:15BUF3,BUF,2ND,1900-01-01 04:15:00,Jordan Greenway,Casey Mittelstadt,Zach Benson,20231014BUF@NYI,2023-10-14,1455
2023101404:15CAR1,CAR,1ST,1900-01-01 04:15:00,Brent Burns,Jaccob Slavin,None,20231014CAR@LA,2023-10-14,255
2023101404:44DET8,DET,3RD,1900-01-01 04:44:00,Alex DeBrincat,Dylan Larkin,None,20231014TB@DET,2023-10-14,2684
2023101405:00CAR12,CAR,SHO,1900-01-01 05:00:00,Sebastian Aho,None,None,20231014CAR@LA,2023-10-14,4200
2023101405:00CAR14,CAR,SHO,1900-01-01 05:00:00,Martin Necas,None,None,20231014CAR@LA,2023-10-14,4200
2023101405:00CAR15,CAR,SHO,1900-01-01 05:00:00,Jordan Martinook,None,None,20231014CAR@LA,2023-10-14,4200
2023101405:00COL3,COL,SHO,1900-01-01 05:00:00,Mikko Rantanen,None,None,20231014COL@SJ,2023-10-14,4200
2023101405:00LA11,LA,SHO,1900-01-01 05:00:00,Pierre-Luc Dubois,None,None,20231014CAR@LA,2023-10-14,4200
2023101405:00LA13,LA,SHO,1900-01-01 05:00:00,Trevor Moore,None,None,20231014CAR@LA,2023-10-14,4200
2023101405:00STL3,STL,SHO,1900-01-01 05:00:00,Robert Thomas,None,None,20231014SEA@STL,2023-10-14,4200
2023101405:11DET1,DET,1ST,1900-01-01 05:11:00,Daniel Sprong,None,None,20231014TB@DET,2023-10-14,311
2023101405:20LA6,LA,2ND,1900-01-01 05:20:00,Anze Kopitar,Adrian Kempe,Kevin Fiala,20231014CAR@LA,2023-10-14,1520
2023101405:50PIT4,PIT,3RD,1900-01-01 05:50:00,Jake Guentzel,Kris Letang,Sidney Crosby,20231014CGY@PIT,2023-10-14,2750
2023101405:57NYI1,NYI,1ST,1900-01-01 05:57:00,Brock Nelson,Pierre Engvall,None,20231014BUF@NYI,2023-10-14,357
2023101406:16LV3,LV,3RD,1900-01-01 06:16:00,Shea Theodore,Jack Eichel,Chandler Stephenson,20231014ANA@LV,2023-10-14,2776
2023101406:41CAR2,CAR,1ST,1900-01-01 06:41:00,Sebastian Aho,None,None,20231014CAR@LA,2023-10-14,401
2023101406:45ANA4,ANA,3RD,1900-01-01 06:45:00,Mason McTavish,Jamie Drysdale,Ryan Strome,20231014ANA@LV,2023-10-14,2805
2023101407:49STL2,STL,2ND,1900-01-01 07:49:00,Jordan Kyrou,Robert Thomas,None,20231014SEA@STL,2023-10-14,1669
2023101407:56MON2,MON,2ND,1900-01-01 07:56:00,Tanner Pearson,Kaiden Guhle,Sean Monahan,20231014CHI@MON,2023-10-14,1676
2023101408:20WPG5,WPG,2ND,1900-01-01 08:20:00,Morgan Barron,Rasmus Kupari,Mason Appleton,20231014FLA@WPG,2023-10-14,1700
2023101408:42SJ1,SJ,1ST,1900-01-01 08:42:00,Thomas Bordeleau,Matt Benning,Mike Hoffman,20231014COL@SJ,2023-10-14,522
2023101409:25VAN2,VAN,1ST,1900-01-01 09:25:00,Andrei Kuzmenko,Quinn Hughes,Elias Pettersson,20231014VAN@EDM,2023-10-14,565
2023101409:29EDM6,EDM,2ND,1900-01-01 09:29:00,Ryan Nugent-Hopkins,Evan Bouchard,Connor McDavid,20231014VAN@EDM,2023-10-14,1769
2023101409:32MIN1,MIN,1ST,1900-01-01 09:32:00,Ryan Hartman,Kirill Kaprizov,Jonas Brodin,20231014MIN@TOR,2023-10-14,572
2023101409:36CLB2,CLB,1ST,1900-01-01 09:36:00,Boone Jenner,Johnny Gaudreau,Kirill Marchenko,20231014NYR@CLB,2023-10-14,576
2023101409:39TB9,TB,3RD,1900-01-01 09:39:00,Victor Hedman,Nikita Kucherov,Steven Stamkos,20231014TB@DET,2023-10-14,2979
2023101409:46TB2,TB,1ST,1900-01-01 09:46:00,Steven Stamkos,Victor Hedman,Nikita Kucherov,20231014TB@DET,2023-10-14,586
2023101409:51MIN7,MIN,2ND,1900-01-01 09:51:00,Marco Rossi,None,None,20231014MIN@TOR,2023-10-14,1791
2023101409:54TOR8,TOR,3RD,1900-01-01 09:54:00,Calle Jarnkrok,Morgan Rielly,T.J. Brodie,20231014MIN@TOR,2023-10-14,2994
2023101409:55WPG6,WPG,2ND,1900-01-01 09:55:00,Dylan DeMelo,Cole Perfetti,Nino Niederreiter,20231014FLA@WPG,2023-10-14,1795
2023101410:23CAR7,CAR,2ND,1900-01-01 10:23:00,Teuvo Teravainen,Sebastian Aho,Brady Skjei,20231014CAR@LA,2023-10-14,1823
2023101410:25TOR9,TOR,3RD,1900-01-01 10:25:00,Auston Matthews,Mitchell Marner,None,20231014MIN@TOR,2023-10-14,3025
2023101410:47OTT2,OTT,1ST,1900-01-01 10:47:00,Jakob Chychrun,Vladimir Tarasenko,Jake Sanderson,20231014PHI@OTT,2023-10-14,647
2023101410:53NYR6,NYR,3RD,1900-01-01 10:53:00,Will Cuylle,Vincent Trocheck,Erik Gustafsson,20231014NYR@CLB,2023-10-14,3053
2023101410:53TB6,TB,2ND,1900-01-01 10:53:00,Steven Stamkos,Brandon Hagel,Anthony Cirelli,20231014TB@DET,2023-10-14,1853
2023101410:54TOR2,TOR,1ST,1900-01-01 10:54:00,Auston Matthews,Mitchell Marner,None,20231014MIN@TOR,2023-10-14,654
2023101411:24LA9,LA,3RD,1900-01-01 11:24:00,Vladislav Gavrikov,Trevor Lewis,Blake Lizotte,20231014CAR@LA,2023-10-14,3084
2023101412:14TOR10,TOR,3RD,1900-01-01 12:14:00,William Nylander,John Klingberg,John Tavares,20231014MIN@TOR,2023-10-14,3134
2023101412:30CLB4,CLB,2ND,1900-01-01 12:30:00,Boone Jenner,Jake Bean,None,20231014NYR@CLB,2023-10-14,1950
2023101412:35TOR3,TOR,1ST,1900-01-01 12:35:00,Auston Matthews,William Nylander,None,20231014MIN@TOR,2023-10-14,755
2023101412:52TB3,TB,1ST,1900-01-01 12:52:00,Brandon Hagel,Victor Hedman,None,20231014TB@DET,2023-10-14,772
2023101413:28CAR3,CAR,1ST,1900-01-01 13:28:00,Jesperi Kotkaniemi,None,None,20231014CAR@LA,2023-10-14,808
2023101413:37CLB5,CLB,2ND,1900-01-01 13:37:00,David Jiricek,Patrik Laine,Ivan Provorov,20231014NYR@CLB,2023-10-14,2017
2023101413:40NYI5,NYI,3RD,1900-01-01 13:40:00,Casey Cizikas,Adam Pelech,Cal Clutterbuck,20231014BUF@NYI,2023-10-14,3220
2023101413:46LA8,LA,2ND,1900-01-01 13:46:00,Trevor Moore,None,None,20231014CAR@LA,2023-10-14,2026
2023101414:14PIT5,PIT,3RD,1900-01-01 14:14:00,Evgeni Malkin,Reilly Smith,None,20231014CGY@PIT,2023-10-14,3254
2023101414:17WPG7,WPG,3RD,1900-01-01 14:17:00,Mason Appleton,Adam Lowry,None,20231014FLA@WPG,2023-10-14,3257
2023101414:35DET4,DET,1ST,1900-01-01 14:35:00,Alex DeBrincat,Shayne Gostisbehere,None,20231014TB@DET,2023-10-14,875
2023101414:46BOS3,BOS,2ND,1900-01-01 14:46:00,David Pastrnak,None,None,20231014NSH@BOS,2023-10-14,2086
2023101414:48BOS2,BOS,1ST,1900-01-01 14:48:00,James van Riemsdyk,Brad Marchand,Charlie McAvoy,20231014NSH@BOS,2023-10-14,888
2023101415:03LV2,LV,2ND,1900-01-01 15:03:00,Chandler Stephenson,Paul Cotter,Brayden McNabb,20231014ANA@LV,2023-10-14,2103
2023101415:23DET7,DET,2ND,1900-01-01 15:23:00,J.T. Compher,Moritz Seider,Andrew Copp,20231014TB@DET,2023-10-14,2123
2023101415:54CLB7,CLB,3RD,1900-01-01 15:54:00,Justin Danforth,Cole Sillinger,Kent Johnson,20231014NYR@CLB,2023-10-14,3354
2023101416:05CGY6,CGY,3RD,1900-01-01 16:05:00,Jonathan Huberdeau,Andrew Mangiapane,Noah Hanifin,20231014CGY@PIT,2023-10-14,3365
2023101416:12OTT4,OTT,2ND,1900-01-01 16:12:00,Jake Sanderson,Vladimir Tarasenko,Jakob Chychrun,20231014PHI@OTT,2023-10-14,2172
2023101416:30PHI5,PHI,2ND,1900-01-01 16:30:00,Cam York,Travis Konecny,Sean Walker,20231014PHI@OTT,2023-10-14,2190
2023101416:31FLA8,FLA,3RD,1900-01-01 16:31:00,Carter Verhaeghe,Matthew Tkachuk,Evan Rodrigues,20231014FLA@WPG,2023-10-14,3391
2023101416:51PHI3,PHI,1ST,1900-01-01 16:51:00,Travis Konecny,Tyson Foerster,Travis Sanheim,20231014PHI@OTT,2023-10-14,1011
2023101416:54NSH4,NSH,2ND,1900-01-01 16:54:00,Colton Sissons,Roman Josi,Filip Forsberg,20231014NSH@BOS,2023-10-14,2214
2023101417:03FLA2,FLA,1ST,1900-01-01 17:03:00,Sam Reinhart,Evan Rodrigues,Matthew Tkachuk,20231014FLA@WPG,2023-10-14,1023
2023101417:32LV5,LV,3RD,1900-01-01 17:32:00,Jonas Rondbjerg,Nicolas Hague,Nicolas Roy,20231014ANA@LV,2023-10-14,3452
2023101417:32MIN11,MIN,3RD,1900-01-01 17:32:00,Brandon Duhaime,Connor Dewar,Jacob Middleton,20231014MIN@TOR,2023-10-14,3452
2023101417:36FLA9,FLA,3RD,1900-01-01 17:36:00,Evan Rodrigues,Aleksander Barkov,Sam Reinhart,20231014FLA@WPG,2023-10-14,3456
2023101417:38MON3,MON,2ND,1900-01-01 17:38:00,Sean Monahan,Rafael Harvey-Pinard,None,20231014CHI@MON,2023-10-14,2258
2023101417:45CLB3,CLB,1ST,1900-01-01 17:45:00,Boone Jenner,Johnny Gaudreau,Ivan Provorov,20231014NYR@CLB,2023-10-14,1065
2023101417:51VAN3,VAN,1ST,1900-01-01 17:51:00,Nils Hoglander,Brock Boeser,Tyler Myers,20231014VAN@EDM,2023-10-14,1071
2023101418.0PIT2,PIT,3RD,1900-01-01 00:18:00,Bryan Rust,Kris Letang,Jake Guentzel,20231014CGY@PIT,2023-10-14,2418
2023101418:18NYI2,NYI,1ST,1900-01-01 18:18:00,Kyle Palmieri,Brock Nelson,Ryan Pulock,20231014BUF@NYI,2023-10-14,1098
2023101418:22CGY1,CGY,2ND,1900-01-01 18:22:00,Matthew Coronato,Elias Lindholm,Rasmus Andersson,20231014CGY@PIT,2023-10-14,2302
2023101418:27LA4,LA,1ST,1900-01-01 18:27:00,Drew Doughty,Kevin Fiala,Mikey Anderson,20231014CAR@LA,2023-10-14,1107
2023101418:34COL2,COL,3RD,1900-01-01 18:34:00,Cale Makar,Valeri Nichushkin,None,20231014COL@SJ,2023-10-14,3514
2023101418:38LA10,LA,3RD,1900-01-01 18:38:00,Anze Kopitar,Carl Grundstrom,Kevin Fiala,20231014CAR@LA,2023-10-14,3518
2023101418:39CHI5,CHI,3RD,1900-01-01 18:39:00,Tyler Johnson,Corey Perry,Connor Bedard,20231014CHI@MON,2023-10-14,3519
2023101418:50WPG10,WPG,3RD,1900-01-01 18:50:00,Kyle Connor,Josh Morrissey,None,20231014FLA@WPG,2023-10-14,3530
2023101419:24NYR8,NYR,3RD,1900-01-01 19:24:00,Chris Kreider,Artemi Panarin,Adam Fox,20231014NYR@CLB,2023-10-14,3564
2023101419:37TOR4,TOR,1ST,1900-01-01 19:37:00,William Nylander,John Tavares,Max Domi,20231014MIN@TOR,2023-10-14,1177
2023101419:38PIT7,PIT,3RD,1900-01-01 19:38:00,Bryan Rust,Jake Guentzel,None,20231014CGY@PIT,2023-10-14,3578
