gameID,visitors,home,gameDate,winner
20231028ANA@PHI,ANA,PHI,2023-10-28,ANA
20231028SEA@FLA,SEA,FLA,2023-10-28,FLA
20231028DET@BOS,DET,BOS,2023-10-28,BOS
20231028NYI@CLB,NYI,CLB,2023-10-28,NYI
20231028WPG@MON,WPG,MON,2023-10-28,MON
20231028TOR@NSH,TOR,NSH,2023-10-28,NSH
20231028OTT@PIT,OTT,PIT,2023-10-28,OTT
20231028NYR@VAN,NYR,VAN,2023-10-28,NYR
20231028VGK@LA,VGK,LA,2023-10-28,LV
20231029COL@BUF,COL,BUF,2023-10-29,BUF
20231029MIN@NJ,MIN,NJ,2023-10-29,NJ
20231029SJ@WAS,SJ,WAS,2023-10-29,WAS
20231029CGY@EDM,CGY,EDM,2023-10-29,EDM
20231030CAR@PHI,CAR,PHI,2023-10-30,CAR
20231030FLA@BOS,FLA,BOS,2023-10-30,BOS
20231030ANA@PIT,ANA,PIT,2023-10-30,ANA
20231030SEA@TB,SEA,TB,2023-10-30,SEA
20231030DET@NYI,DET,NYI,2023-10-30,DET
20231030NYR@WPG,NYR,WPG,2023-10-30,NYR
20231030CLB@DAL,CLB,DAL,2023-10-30,DAL
20231030CHI@ARI,CHI,ARI,2023-10-30,ARI
20231030MON@VGK,MON,VGK,2023-10-30,LV
20231031LA@TOR,LA,TOR,2023-10-31,LA
20231031NSH@VAN,NSH,VAN,2023-10-31,VAN
