"goalID","scorer","period","teamName","goalDate","gameID"
"2023101119:04BOS4",David Pastrnak,"3RD",Boston Bruins,2023-10-11,"20231011CHI@BOS"
"2023101119:15TOR5",William Nylander,"2ND",Toronto Maple Leafs,2023-10-11,"20231011MON@TOR"
"2023101119:53CGY8",Andrew Mangiapane,"3RD",Calgary Flames,2023-10-11,"20231011WPG@CGY"
"2023101119:55LA5",Quinton Byfield,"2ND",Los Angeles Kings,2023-10-11,"20231011COL@LA"
"2023101120.0CAR4",Jordan Staal,"3RD",Carolina Hurricanes,2023-10-11,"20231011OTT@CAR"
"2023101202:37STL2",Tyler Tucker,"2ND",St. Louis Blues,2023-10-12,"20231012STL@DAL"
"2023101203:33PHI1",Joel Farabee,"1ST",Philadelphia Flyers,2023-10-12,"20231012PHI@CLB"
"2023101203:47NYR1",Alexis Lafreniere,"1ST",New York Rangers,2023-10-12,"20231012NYR@BUF"
"2023101205:00DAL3",Jason Robertson,SHO,Dallas Stars,2023-10-12,"20231012STL@DAL"
"2023101205:00DAL5",Matt Duchene,SHO,Dallas Stars,2023-10-12,"20231012STL@DAL"
"2023101205:00STL4",Brayden Schenn,SHO,St. Louis Blues,2023-10-12,"20231012STL@DAL"
"2023101207:54MIN1",Brock Faber,"1ST",Minnesota Wild,2023-10-12,"20231012FLA@MIN"
"2023101208:24CLB2",Jake Bean,"1ST",Columbus Blue Jackets,2023-10-12,"20231012PHI@CLB"
"2023101210:03NSH2",Gustav Nyquist,"3RD",Nashville Predators,2023-10-12,"20231012SEA@NSH"
"2023101210:24NSH1",Colton Sissons,"2ND",Nashville Predators,2023-10-12,"20231012SEA@NSH"
"2023101210:43DET4",Alex DeBrincat,"3RD",Detroit Red Wings,2023-10-12,"20231012DET@NJ"
"2023101211:34NYR5",Chris Kreider,"3RD",New York Rangers,2023-10-12,"20231012NYR@BUF"
"2023101212:14DET1",Daniel Sprong,"2ND",Detroit Red Wings,2023-10-12,"20231012DET@NJ"
"2023101212:22NYR2",Chris Kreider,"1ST",New York Rangers,2023-10-12,"20231012NYR@BUF"
"2023101212:43PHI3",Travis Konecny,"1ST",Philadelphia Flyers,2023-10-12,"20231012PHI@CLB"
"2023101212:49NYR3",Artemi Panarin,"2ND",New York Rangers,2023-10-12,"20231012NYR@BUF"
"2023101212:56MIN2",Joel Eriksson Ek,"2ND",Minnesota Wild,2023-10-12,"20231012FLA@MIN"
"2023101213:39NJ2",Jack Hughes,"2ND",New Jersey Devils,2023-10-12,"20231012DET@NJ"
"2023101215:37NJ5",Dougie Hamilton,"3RD",New Jersey Devils,2023-10-12,"20231012DET@NJ"
"2023101218.0DAL1",Jamie Benn,"2ND",Dallas Stars,2023-10-12,"20231012STL@DAL"
"2023101218:19NSH3",Juuso Parssinen,"3RD",Nashville Predators,2023-10-12,"20231012SEA@NSH"
"2023101218:29NJ6",Erik Haula,"3RD",New Jersey Devils,2023-10-12,"20231012DET@NJ"
"2023101218:30BUF4",John-Jason Peterka,"2ND",Buffalo Sabres,2023-10-12,"20231012NYR@BUF"
"2023101218:31NYR6",Jacob Trouba,"3RD",New York Rangers,2023-10-12,"20231012NYR@BUF"
"2023101218:31PHI4",Cam Atkinson,"3RD",Philadelphia Flyers,2023-10-12,"20231012PHI@CLB"
"2023101218:43NJ3",Jack Hughes,"2ND",New Jersey Devils,2023-10-12,"20231012DET@NJ"
"2023101219:16CLB5",Patrik Laine,"3RD",Columbus Blue Jackets,2023-10-12,"20231012PHI@CLB"
"2023101219:26DET7",Robby Fabbri,"3RD",Detroit Red Wings,2023-10-12,"20231012DET@NJ"
"2023101219:59PHI6",Travis Konecny,"3RD",Philadelphia Flyers,2023-10-12,"20231012PHI@CLB"
"2023101304:07PIT1",Evgeni Malkin,"2ND",Pittsburgh Penguins,2023-10-13,"20231013PIT@WAS"
"2023101304:23ARI2",Sean Durzi,"2ND",Arizona Coyotes,2023-10-13,"20231013ARI@NJ"
"2023101305:00ARI7",Nick Bjugstad,SHO,Arizona Coyotes,2023-10-13,"20231013ARI@NJ"
"2023101305:00ARI8",Nick Schmaltz,SHO,Arizona Coyotes,2023-10-13,"20231013ARI@NJ"
"2023101305:51PIT2",Sidney Crosby,"2ND",Pittsburgh Penguins,2023-10-13,"20231013PIT@WAS"
"2023101306:22ARI1",Matt Dumba,"1ST",Arizona Coyotes,2023-10-13,"20231013ARI@NJ"
"2023101308:09NJ3",Jesper Bratt,"2ND",New Jersey Devils,2023-10-13,"20231013ARI@NJ"
"2023101311:46PIT3",Sidney Crosby,"2ND",Pittsburgh Penguins,2023-10-13,"20231013PIT@WAS"
"2023101312:29NJ4",Dougie Hamilton,"2ND",New Jersey Devils,2023-10-13,"20231013ARI@NJ"
"2023101313:55ARI6",Nick Schmaltz,"3RD",Arizona Coyotes,2023-10-13,"20231013ARI@NJ"
"2023101316:57PIT4",Reilly Smith,"3RD",Pittsburgh Penguins,2023-10-13,"20231013PIT@WAS"
"2023101318:53NJ5",Jesper Bratt,"2ND",New Jersey Devils,2023-10-13,"20231013ARI@NJ"
"2023101401:32OTT7",Brady Tkachuk,"3RD",Ottawa Senators,2023-10-14,"20231014PHI@OTT"
"2023101401:45EDM4",Connor McDavid,"2ND",Edmonton Oilers,2023-10-14,"20231014VAN@EDM"
"2023101402:01DET5",Lucas Raymond,"2ND",Detroit Red Wings,2023-10-14,"20231014TB@DET"
"2023101402:34BUF4",Casey Mittelstadt,"3RD",Buffalo Sabres,2023-10-14,"20231014BUF@NYI"
"2023101402:36OTT1",Jakob Chychrun,"1ST",Ottawa Senators,2023-10-14,"20231014PHI@OTT"
"2023101402:36VAN5",Jack Studnicka,"2ND",Vancouver Canucks,2023-10-14,"20231014VAN@EDM"
"2023101402:52BOS5",James van Riemsdyk,"3RD",Boston Bruins,2023-10-14,"20231014NSH@BOS"
"2023101402:56VAN7",Sam Lafferty,"3RD",Vancouver Canucks,2023-10-14,"20231014VAN@EDM"
"2023101403:03CAR5",Brendan Lemieux,"2ND",Carolina Hurricanes,2023-10-14,"20231014CAR@LA"
"2023101403:29NSH1",Colton Sissons,"1ST",Nashville Predators,2023-10-14,"20231014NSH@BOS"
"2023101403:30WPG1",Mark Scheifele,"1ST",Winnipeg Jets,2023-10-14,"20231014FLA@WPG"
"2023101403:35TOR5",Tyler Bertuzzi,"2ND",Toronto Maple Leafs,2023-10-14,"20231014MIN@TOR"
"2023101403:54MON1",Cole Caufield,"2ND",Montreal Canadiens,2023-10-14,"20231014CHI@MON"
